"","plDate","N","P","K","WLY","CurrentY","TargetY","TC","NR","NPK17_17_17","DAP","MOP","Urea","FCY","plw","harvMonth","STATE","DISTRICT","respY","groRev","plm","rateNPK171717","rateDAP"
"7442",288,10.0097671763427,0,13.4608987153284,13.1357727272727,12.1933636363636,13.0890537787635,24762.1212121212,42410.6060606061,0,0,22.4393939393939,21.7121212121212,"level2",42,8,"Amajyaruguru","Gakenke",0.895690142399902,67172.7272727273,"October",0,0
"7443",288,68.4267302467042,9.53153656183764,52.2792260388807,29.9017037037037,14.7289259259259,26.6191222098702,157748.148148148,734016.049382716,28.7283950617284,35.7283950617284,79.9506172839506,124.185185185185,"level2",42,8,"Amajyaruguru","Gicumbi",11.8901962839442,891764.197530864,"October",28.7283950617284,35.7283950617284
"7444",288,26.8749167924667,0.782474964275734,31.8394571622039,17.1053529411765,13.2984117647059,17.0184128975928,64666.6666666667,214333.333333333,2.52941176470588,2.86274509803922,52.4313725490196,56.3725490196078,"level2",42,8,"Amajyaruguru","Musanze",3.72000113288687,279000,"October",2.52941176470588,2.86274509803922
"7445",288,35.1301801890274,3.40413563635584,31.1203717509449,19.6006,12.5514,18.3841816776249,81188.3333333333,356263.333333333,10.9666666666667,12.5,49.1166666666667,67.4666666666667,"level2",42,8,"Amajyaruguru","Rulindo",5.83278167762486,437451.666666667,"October",10.9666666666667,12.5
"7471",288,63.4179301742713,5.63337667659575,59.4344492189115,25.6687875,14.76975,25.1046142842652,148181.25,626925,18.225,20.575,94.4875,123.1125,"level2",42,9,"Amajyaruguru","Burera",10.3348642842652,775106.25,"October",18.225,20.575
"7472",288,43.890904729398,-1.69864122767649e-17,50.7816063755882,20.7139772727273,14.625,20.7017947355061,101035.227272727,354712.5,0,0,84.6022727272727,95.4318181818182,"level2",42,9,"Amajyaruguru","Gakenke",6.07679473550613,455747.727272727,"October",0,0
"7473",288,83.7235409546681,19.0372233750474,41.7277173079202,49.5478333333333,14.8394444444444,31.031139768063,191250.925925926,1023125,53.8888888888889,72.8611111111111,56.1481481481481,133.648148148148,"level2",42,9,"Amajyaruguru","Gicumbi",16.1916953236185,1214375.92592593,"October",53.8888888888889,72.8611111111111
"7474",288,60.9241009940596,5.7493106276622,55.9184068971119,26.3716764705882,14.9550882352941,24.959103532638,142170.588235294,608125,18.5735294117647,21.0441176470588,88.5735294117647,117.352941176471,"level2",42,9,"Amajyaruguru","Musanze",10.0040152973439,750295.588235294,"October",18.5735294117647,21.0441176470588
"7475",288,57.3017080300772,9.29416082028446,40.6783162213679,32.7226125,14.24145,24.1364098237865,133118.75,608998.75,29.75,34.1875,60.4375,100.2625,"level2",42,9,"Amajyaruguru","Rulindo",9.89495982378649,742117.5,"October",29.75,34.1875
"7501",288,84.3052205756501,18.0824150930349,45.7712114009837,44.0967,14.8698,30.8697531596524,193326.25,1006677.5,51.9625,68.875,63.3,137.1625,"level2",42,10,"Amajyaruguru","Burera",15.9999531596524,1200003.75,"October",51.9625,68.875
"7502",288,81.5240069187041,14.1153106513591,53.6027907310296,33.8214545454545,14.7525,29.4842023054445,187417.045454545,917455.681818182,43.7045454545455,52.4318181818182,78.4431818181818,140.590909090909,"level2",42,10,"Amajyaruguru","Gakenke",14.7317023054445,1104872.72727273,"October",43.7045454545455,52.4318181818182
"7503",288,85.8312532703925,20.8113784028683,40.1620023823845,67.61225,14.8394444444444,31.6448636585264,197359.259259259,1063045.37037037,60.8611111111111,78.7685185185185,51.787037037037,133.351851851852,"level2",42,10,"Amajyaruguru","Gicumbi",16.805419214082,1260404.62962963,"October",60.8611111111111,78.7685185185185
"7504",288,82.1891081263417,17.8659253499837,46.7356139041642,43.9841470588235,15.1348235294118,30.6701866430282,191242.647058824,973905.882352941,52.6029411764706,67.4852941176471,64.7647058823529,132.764705882353,"level2",42,10,"Amajyaruguru","Musanze",15.5353631136164,1165148.52941176,"October",52.6029411764706,67.4852941176471
"7505",288,81.2354528307854,14.3891783287281,51.843022857786,47.135775,14.38995,29.3430862298026,186242.5,935241.25,44.7375,53.4375,75.25,139.2375,"level2",42,10,"Amajyaruguru","Rulindo",14.9531362298026,1121483.75,"October",44.7375,53.4375
"7531",288,86.5471723135168,20.8137529019891,39.8052553006344,63.7689375,14.8698,31.8157377968418,197461.25,1073491.25,58.8625,79.6375,51.6125,135.2625,"level2",42,11,"Amajyaruguru","Burera",16.9459377968418,1270952.5,"October",58.8625,79.6375
"7532",288,86.2645046281184,21.0223051347084,38.2535165970079,54.2905227272727,14.7525,31.6894890992473,197144.318181818,1073122.72727273,63.9090909090909,78.6022727272727,47.7727272727273,133.272727272727,"level2",42,11,"Amajyaruguru","Gakenke",16.9369890992473,1270267.04545455,"October",63.9090909090909,78.6022727272727
